days_to_departure,mean_fare,median_fare,mean_seats_remaining,n_flights
1,414.5942840653666,370.6,4.247554826559747,16461
2,356.80688439747223,333.6,4.699171932882981,18356
3,325.1330381558813,294.6,5.070882077101535,20259
4,341.7865634739248,306.1,4.769374610430085,19252
5,372.0713699864804,338.6,4.4715525011266335,17752
6,391.58481755517613,342.6,4.512805919180421,15813
7,453.89128180892834,398.6,4.27177548349571,13754
8,437.9734598655595,397.1,4.524449716620535,15174
9,325.1681502647722,279.6,5.408325905730614,19073
10,284.33041928316106,243.1,5.74828518983673,20702
11,344.19420799821273,314.59000000000003,5.18375781948168,8952
12,353.30710523451955,321.6,5.214060289476548,9189
13,309.31239866475914,267.6,5.4790176442536955,8388
14,413.5676613525328,372.6,4.946387246078683,7778
15,320.0129483054483,282.2,5.486593736593736,9324
16,245.0364889430285,188.6,6.35297976011994,10672
17,257.2375959356812,207.6,6.022393212982145,10137
18,305.7075959393128,271.69,5.524765729585007,8964
