legId,route,flightDate,top_drivers_totalFare,top_drivers_seatsRemaining
752726d79d97ccf9d3c25ea5a272febb,CLT-LGA,2022-05-04,airline (-0.11); day-of-week pattern (-0.10),airline (-0.33); basic economy fare type (-0.14)
f9d3e8e7b8432475cfc69791cc04e8b9,LAX-DFW,2022-05-05,basic economy fare type (-0.59); this route's typical pattern (-0.22),basic economy fare type (+0.93); nonstop vs. connecting (+0.11)
7a7910c767dd09033406f2c0c6e7a1d6,CLT-LAX,2022-05-04,how far out this is from departure (-0.14); trip distance (+0.13),how far out this is from departure (+0.38); basic economy fare type (-0.11)
d714f1ffe0276e77c645e64681426e8f,OAK-MIA,2022-05-05,airline (+0.81); cabin/itinerary complexity (+0.42),how far out this is from departure (+0.44); airline (-0.28)
ec1ab12ce2081206ce0963d11e50dc03,LGA-DTW,2022-05-02,this route's typical pattern (-0.34); trip distance (-0.16),airline (-0.19); basic economy fare type (-0.17)
31e66fda6eeed4ec3f42b5c8747dd6e4,LAX-EWR,2022-04-26,basic economy fare type (-0.89); this route's typical pattern (+0.43),basic economy fare type (+0.88); this route's typical pattern (+0.15)
0a8ad8c22a12b6f31556ecb2fad933f2,SFO-MIA,2022-05-01,airline (+0.35); day-of-week pattern (+0.28),airline (+0.17); nonstop vs. connecting (+0.15)
9b1fdf5f099fa6548c977e8a2050165a,CLT-DTW,2022-05-05,trip distance (-0.16); how far out this is from departure (-0.15),this route's typical pattern (+0.53); airline (+0.30)
b7b324b3e6adb0ebbe0e9a82d7dfd189,DFW-DTW,2022-04-30,this route's typical pattern (-0.18); airline (-0.18),airline (-0.33); basic economy fare type (-0.17)
4a83add0722280602668a4a751091cc7,MIA-CLT,2022-04-27,this route's typical pattern (+0.33); trip distance (-0.22),airline (+0.22); how far out this is from departure (+0.19)
a2e70ce891cdaa7b0a32c5398cacf1b0,BOS-SFO,2022-04-26,basic economy fare type (-0.51); trip distance (+0.21),basic economy fare type (+1.15); airline (+0.17)
49c0e4ffdd8ecf1260b814e033b1d2ea,BOS-CLT,2022-04-29,this route's typical pattern (-0.40); airline (+0.16),how far out this is from departure (+0.26); airline (+0.24)
