legId,route,flightDate,days_to_departure,totalFare,seatsRemaining,expected_totalFare,expected_seatsRemaining,residual_totalFare,residual_seatsRemaining,z_totalFare,z_seatsRemaining,priority_score,diagnosis,segmentsEquipmentDescription,estimated_capacity,estimated_load_factor,recommended_change_pct,recommended_fare,top_drivers_totalFare,top_drivers_seatsRemaining
6cbbaa794801f387ade224a1061ada7a,DFW-DEN,2022-04-18,1,282.39,10.0,854.98303,44.200516,-572.5930322265625,-34.20051574707031,-4.001027314917006,-14.902502408922423,14.902502408922423,Underpriced -- selling fast at a below-peer fare,Embraer RJ145||Embraer RJ145,150,0.9333333333333332,20.0,338.87,refundable fare type (+2.40); airline (-0.34),refundable fare type (+12.36); airline (+0.60)
8ec2401b9c3010568e953aea87795764,BOS-PHL,2022-04-18,1,461.6,9.0,486.6596,0.7776983,-25.059606933593727,8.222301721572876,-0.1751054696780168,3.5827784621383434,3.5827784621383434,Selling slow despite normal pricing -- possible weak demand/competitor pressure,Boeing 737-900||,180,0.95,-14.331113848553374,395.45,this route's typical pattern (+0.28); how far out this is from departure (+0.27),this route's typical pattern (-0.48); how far out this is from departure (-0.40)
3d73e6fa368eb348339f70b4c6d1d7ae,MIA-SFO,2022-05-05,18,152.6,1.0,836.673,9.186403,-684.0729736328125,-8.186403274536133,-4.779999928148644,-3.567136104654671,3.567136104654671,Underpriced -- selling fast at a below-peer fare,Boeing 737 MAX 8||AIRBUS INDUSTRIE A321 SHARKLETS,150,0.9933333333333332,14.268544418618683,174.37,this route's typical pattern (+0.77); how far out this is from departure (+0.54),how far out this is from departure (+0.58); airline (+0.48)
29ab4b4aea336355d32c041bcf6b1c82,DFW-SFO,2022-04-24,7,496.1,9.0,473.7962,1.0435808,22.303796386718773,7.956419229507446,0.1558490822401406,3.466923060781281,3.466923060781281,Selling slow despite normal pricing -- possible weak demand/competitor pressure,Airbus A319||Boeing 737-800||Airbus A319,128,0.9296875,-13.867692243125123,427.3,airline (-0.73); cabin/itinerary complexity (+0.60),airline (-0.49); this route's typical pattern (-0.28)
1f408efc2a27f97302c89f5c453604f6,MIA-EWR,2022-05-04,17,137.6,1.0,823.0508,8.941551,-685.45078125,-7.941551208496094,-4.789627439488822,-3.460444482488012,3.460444482488012,Underpriced -- selling fast at a below-peer fare,Boeing 737 MAX 8,150,0.9933333333333332,13.841777929952048,156.65,this route's typical pattern (+1.23); how far out this is from departure (+0.53),how far out this is from departure (+0.58); airline (+0.37)
d5e5ef389fbdf9d23523e8659dfce507,MIA-SFO,2022-05-05,18,173.6,1.0,783.917,8.916365,-610.3169921875,-7.916364669799805,-4.264625692360804,-3.449469722447265,3.449469722447265,Underpriced -- selling fast at a below-peer fare,Boeing 737-900,180,0.9944444444444444,13.79787888978906,197.55,this route's typical pattern (+0.90); how far out this is from departure (+0.51),how far out this is from departure (+0.72); this route's typical pattern (+0.28)
c336a931635099eebf5f9ffc682c6319,CLT-DTW,2022-04-25,8,356.1,1.0,467.16006,8.862156,-111.0600646972656,-7.862155914306641,-0.7760387001607596,-3.4258488473909945,3.4258488473909945,Underpriced -- selling fast at a below-peer fare,Canadair Regional Jet 900||Canadair Regional Jet 900,150,0.9933333333333332,13.703395389563978,404.9,this route's typical pattern (+0.20); airline (+0.13),this route's typical pattern (+0.78); airline (+0.47)
7e2f18de2a59298ed0ce0f93d79a36cf,MIA-SFO,2022-05-04,17,244.6,1.0,788.9481,8.841459,-544.3481201171875,-7.841459274291992,-3.803664338952037,-3.4168305118209723,3.4168305118209723,Underpriced -- selling fast at a below-peer fare,Boeing 737 MAX 8||AIRBUS INDUSTRIE A321 SHARKLETS,150,0.9933333333333332,13.66732204728389,278.03,this route's typical pattern (+0.72); how far out this is from departure (+0.46),how far out this is from departure (+0.52); airline (+0.49)
ec4f5bd2980fed35cef21d8762be14f8,LAX-JFK,2022-05-04,17,328.6,1.0,743.87976,8.787771,-415.2797607421875,-7.787771224975586,-2.9017916260710863,-3.3934365288124964,3.3934365288124964,Underpriced -- selling fast at a below-peer fare,AIRBUS INDUSTRIE A321 SHARKLETS,190,0.9947368421052633,13.573746115249984,373.2,this route's typical pattern (+0.86); how far out this is from departure (+0.44),how far out this is from departure (+0.47); airline (+0.35)
64b4d07c0ac89801c955283043352389,BOS-DFW,2022-04-18,1,261.61,9.0,433.68802,1.2209203,-172.0780187988281,7.7790796756744385,-1.20240522458627,3.389649280826076,3.389649280826076,Selling slow despite normal pricing -- possible weak demand/competitor pressure,Boeing 737-900||Airbus A319,128,0.9296875,-13.558597123304304,226.14,how far out this is from departure (+0.32); airline (-0.27),how far out this is from departure (-0.44); this route's typical pattern (-0.40)
4dd7f17fc2a314fca01d3a8d14de97a8,PHL-DTW,2022-04-21,4,477.61,1.0,500.23877,8.767397,-22.628769531249983,-7.767396926879883,-0.1581198511016265,-3.384558650224442,3.384558650224442,Selling fast despite normal pricing -- possible demand surge,Boeing 737-900||Airbus A321,180,0.9944444444444444,13.538234600897768,542.27,this route's typical pattern (+0.34); airline (+0.17),this route's typical pattern (+0.73); airline (+0.48)
b67f0e56787387cb2d9a1b05478aab05,MIA-JFK,2022-05-02,15,192.6,1.0,686.4916,8.693521,-493.8915771484375,-7.693520545959473,-3.4510962927618176,-3.352367821502124,3.352367821502124,Underpriced -- selling fast at a below-peer fare,Boeing 737 MAX 8,150,0.9933333333333332,13.409471286008497,218.43,this route's typical pattern (+1.04); how far out this is from departure (+0.49),how far out this is from departure (+0.45); airline (+0.39)
