route,flightDate,mean_fare,n
ATL-BOS,2022-04-17,306.6237837837838,37.0
ATL-BOS,2022-04-18,290.83206349206347,126.0
ATL-BOS,2022-04-19,266.3566222222222,225.0
ATL-BOS,2022-04-20,301.83506976744184,215.0
ATL-BOS,2022-04-21,365.9783615819209,177.0
ATL-BOS,2022-04-22,521.94985,200.0
ATL-BOS,2022-04-23,774.6089655172414,174.0
ATL-BOS,2022-04-24,748.4472638436482,307.0
ATL-BOS,2022-04-25,513.7563383838384,396.0
ATL-BOS,2022-04-26,338.59633262260127,469.0
ATL-BOS,2022-04-27,364.8814201183432,507.0
ATL-BOS,2022-04-28,276.3863410301954,563.0
ATL-BOS,2022-04-29,292.930752688172,465.0
ATL-BOS,2022-04-30,386.36193482688395,491.0
ATL-BOS,2022-05-01,393.85525684931514,584.0
ATL-BOS,2022-05-02,312.51396017699113,904.0
ATL-BOS,2022-05-03,246.75589676290463,1143.0
ATL-BOS,2022-05-04,249.0727737809752,1251.0
ATL-BOS,2022-05-05,259.3583534743202,1324.0
ATL-BOS,2022-05-06,287.05883318928267,1157.0
ATL-BOS,2022-05-07,275.76175247524753,1010.0
ATL-BOS,2022-05-08,380.79067755102045,1225.0
ATL-BOS,2022-05-09,297.8647765567765,1365.0
ATL-BOS,2022-05-10,249.18831653823358,1687.0
ATL-BOS,2022-05-11,243.54162828947372,1824.0
ATL-BOS,2022-05-12,270.0302824133505,1558.0
ATL-BOS,2022-05-13,281.88356070941336,1466.0
ATL-BOS,2022-05-14,284.57018414731783,1249.0
ATL-BOS,2022-05-15,396.89386917188585,1437.0
ATL-BOS,2022-05-16,315.2433457019171,1617.0
ATL-BOS,2022-05-17,253.7166909975669,1644.0
ATL-BOS,2022-05-18,272.1600497512438,1809.0
ATL-BOS,2022-05-19,330.96765222482435,1708.0
ATL-BOS,2022-05-20,341.12263947210556,1667.0
ATL-BOS,2022-05-21,330.8534049479167,1536.0
